都道府県,データ配信元,報告日時,地方名,予報日時,天気,風,波
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,釧路地方,2023-11-13T11:00:00+09:00,晴れ　時々　くもり,北西の風　後　西の風　海上　では　西の風　やや強く,１メートル　後　１．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,釧路地方,2023-11-14T00:00:00+09:00,晴れ　昼前　まで　時々　くもり,北西の風　後　西の風　海上　では　北西の風　やや強く,２メートル　後　１．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,釧路地方,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北の風,１メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,根室地方,2023-11-13T11:00:00+09:00,晴れ　時々　くもり,北西の風　後　西の風　海上　では　西の風　やや強く,１．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,根室地方,2023-11-14T00:00:00+09:00,晴れ　時々　くもり　根室北部　では　明け方　まで　雪,西の風　後　北西の風　やや強く,２メートル　後　２．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,根室地方,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,西の風,２．５メートル　後　１メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,十勝地方,2023-11-13T11:00:00+09:00,晴れ　時々　くもり,北西の風　海上　では　北西の風　やや強く,１メートル　後　１．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,十勝地方,2023-11-14T00:00:00+09:00,晴れ　時々　くもり,西の風　海上　では　北西の風　やや強く,２メートル　後　１．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,十勝地方,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北の風　後　南東の風,１メートル
北海道,旭川地方気象台,2023-11-13T11:00:00+09:00,上川地方,2023-11-13T11:00:00+09:00,くもり　夕方　から　雪,南西の風,
